Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Tata Consultancy Services Ltd,TCS.NS,2015-05-08 00:00:00+05:30,1280.0,1294.0,1258.1500244140625,1263.625,1001.6182250976562,3003664,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-11 00:00:00+05:30,1267.5,1281.5250244140625,1262.5,1278.0,1013.012939453125,2573082,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-12 00:00:00+05:30,1280.0,1282.5,1256.5,1261.449951171875,999.89404296875,2467386,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-13 00:00:00+05:30,1273.5,1273.5,1240.2249755859375,1257.699951171875,996.92236328125,1863774,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-14 00:00:00+05:30,1260.0,1260.0,1242.5,1249.625,990.521484375,1309050,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-15 00:00:00+05:30,1257.5,1266.199951171875,1250.5,1255.574951171875,995.2374267578125,1461454,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-18 00:00:00+05:30,1257.050048828125,1262.625,1248.550048828125,1260.199951171875,998.9036254882812,4507752,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-19 00:00:00+05:30,1259.699951171875,1265.0,1248.375,1256.3499755859375,995.8516845703125,1957722,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-20 00:00:00+05:30,1260.0,1284.949951171875,1258.449951171875,1278.5250244140625,1013.4290771484375,1897814,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-21 00:00:00+05:30,1278.5,1290.0,1274.074951171875,1277.75,1012.8148803710938,1579578,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-22 00:00:00+05:30,1275.0,1314.375,1269.625,1308.949951171875,1037.545654296875,2691632,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-25 00:00:00+05:30,1310.0,1318.449951171875,1292.8499755859375,1300.5,1030.847412109375,982978,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-26 00:00:00+05:30,1302.5,1311.625,1294.449951171875,1304.425048828125,1033.958740234375,1961740,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-27 00:00:00+05:30,1304.0,1316.574951171875,1296.0,1307.625,1036.4951171875,1620690,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-28 00:00:00+05:30,1301.949951171875,1311.5,1291.125,1304.75,1034.216552734375,2763608,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-29 00:00:00+05:30,1308.5,1324.300048828125,1298.625,1305.1500244140625,1034.533447265625,4423532,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-01 00:00:00+05:30,1304.7249755859375,1323.550048828125,1304.175048828125,1308.875,1037.486328125,882264,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-02 00:00:00+05:30,1308.0,1315.0,1295.25,1299.949951171875,1030.41162109375,3935820,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-03 00:00:00+05:30,1302.0,1312.800048828125,1295.25,1305.449951171875,1034.7711181640625,1804684,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-04 00:00:00+05:30,1308.550048828125,1311.4000244140625,1294.25,1302.824951171875,1032.690673828125,4131468,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-05 00:00:00+05:30,1296.0,1304.5,1285.0,1287.925048828125,1030.3709716796875,2308534,12.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-08 00:00:00+05:30,1295.0,1295.0,1280.824951171875,1288.7249755859375,1031.0103759765625,1570320,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-09 00:00:00+05:30,1292.5,1295.0,1275.5,1280.824951171875,1024.6900634765625,2578914,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-10 00:00:00+05:30,1283.0,1305.0,1281.9000244140625,1300.375,1040.33056640625,2763350,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-11 00:00:00+05:30,1302.75,1306.5,1278.375,1285.6500244140625,1028.55078125,1847336,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-12 00:00:00+05:30,1285.949951171875,1294.4749755859375,1238.4000244140625,1252.9000244140625,1002.3495483398438,2571456,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-15 00:00:00+05:30,1252.6500244140625,1260.2249755859375,1240.5,1252.4000244140625,1001.949462890625,2525176,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-16 00:00:00+05:30,1250.0,1259.6500244140625,1247.2249755859375,1256.0,1004.8297119140625,1267396,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-06-17 00:00:00+05:30,1260.5,1264.574951171875,1250.9000244140625,1256.9000244140625,1005.5501098632812,1975720,0.0,0.0
